cycle,mode,width,stage,alive_tasks,rss_kib,sockets,requests,handshakes,drain,active_cp,cp_calls
12,distinct,128,held_observed_max,473,31520,64,64,0,0,64,64
12,distinct,128,quiescent,2,31520,0,0,0,0,0,64
12,same,384,idle,2,31520,0,0,0,0,0,64
12,same,384,held_observed_max,1021,31520,256,256,0,0,1,1
12,same,384,quiescent,2,31520,0,0,0,0,0,1
12,cancel,128,idle,2,31520,0,0,0,0,0,1
12,cancel,128,held_observed_max,503,31520,64,64,0,0,64,64
12,cancel,128,quiescent,2,31520,0,0,0,0,0,64
12,recovery,128,idle,2,31520,0,0,0,0,0,64
12,recovery,128,held_observed_max,398,31520,64,64,0,0,64,64
12,recovery,128,quiescent,2,31520,0,0,0,0,0,64
13,distinct,128,idle,2,31520,0,0,0,0,0,64
13,distinct,128,held_observed_max,459,31520,64,64,0,0,64,64
13,distinct,128,quiescent,2,31520,0,0,0,0,0,64
13,same,384,idle,2,31520,0,0,0,0,0,64
13,same,384,held_observed_max,866,31520,256,256,0,0,1,1
13,same,384,quiescent,2,31520,0,0,0,0,0,1
13,cancel,128,idle,2,31520,0,0,0,0,0,1
13,cancel,128,held_observed_max,382,31520,64,64,0,0,64,64
13,cancel,128,quiescent,2,31520,0,0,0,0,0,64
13,recovery,128,idle,2,31520,0,0,0,0,0,64
13,recovery,128,held_observed_max,512,31520,64,64,0,0,64,64
13,recovery,128,quiescent,2,31520,0,0,0,0,0,64
14,distinct,128,idle,2,31520,0,0,0,0,0,64
14,distinct,128,held_observed_max,490,31520,64,64,0,0,64,64
14,distinct,128,quiescent,2,31520,0,0,0,0,0,64
14,same,384,idle,2,31520,0,0,0,0,0,64
14,same,384,held_observed_max,1002,31520,256,256,0,0,1,1
14,same,384,quiescent,2,31520,0,0,0,0,0,1
14,cancel,128,idle,2,31520,0,0,0,0,0,1
14,cancel,128,held_observed_max,501,31520,64,64,0,0,64,64
14,cancel,128,quiescent,2,31520,0,0,0,0,0,64
14,recovery,128,idle,2,31520,0,0,0,0,0,64
14,recovery,128,held_observed_max,513,31520,64,64,0,0,64,64
14,recovery,128,quiescent,2,31520,0,0,0,0,0,64
RSS_SUMMARY first_three_max_kib=30928 last_three_max_kib=31520 measured_min_kib=30560 measured_max_kib=31520 task_baseline=2
PASS measured_cycles=10 warmup_cycles=5 source_scope=listener_coordinator_miss_only telemetry=noop
